I0229 15:41:19.290870 164201 Oracle_NN.py:283] key:airplane,train_idx:0,train_slicer:2832,num:2832
I0229 15:41:19.291278 164201 Oracle_NN.py:284] key:airplane,train_idx:0,train_slicer:809,num:809
I0229 15:53:52.836235 164201 Oracle_NN.py:157] loss:0.04446655697478183, idx:1633, prediction shapetorch.Size([1, 1024, 3])
I0229 15:54:00.843636 164201 Oracle_NN.py:157] loss:0.06819171511273958, idx:218, prediction shapetorch.Size([1, 1024, 3])
I0229 15:54:09.070544 164201 Oracle_NN.py:157] loss:0.06636291592101388, idx:1568, prediction shapetorch.Size([1, 1024, 3])
I0229 15:54:17.130726 164201 Oracle_NN.py:157] loss:0.03277008071855032, idx:698, prediction shapetorch.Size([1, 1024, 3])
I0229 15:54:25.165806 164201 Oracle_NN.py:157] loss:0.08205269154064528, idx:244, prediction shapetorch.Size([1, 1024, 3])
I0229 15:54:33.201771 164201 Oracle_NN.py:157] loss:0.04330331647097829, idx:2516, prediction shapetorch.Size([1, 1024, 3])
I0229 15:54:41.374460 164201 Oracle_NN.py:157] loss:0.035174395746316645, idx:772, prediction shapetorch.Size([1, 1024, 3])
I0229 15:54:49.395185 164201 Oracle_NN.py:157] loss:0.08533673797799604, idx:1689, prediction shapetorch.Size([1, 1024, 3])
I0229 15:54:57.449461 164201 Oracle_NN.py:157] loss:0.07388850632329422, idx:791, prediction shapetorch.Size([1, 1024, 3])
I0229 15:55:05.565051 164201 Oracle_NN.py:157] loss:0.07482566196779053, idx:2502, prediction shapetorch.Size([1, 1024, 3])
I0229 15:55:13.872862 164201 Oracle_NN.py:157] loss:0.038338748775464865, idx:520, prediction shapetorch.Size([1, 1024, 3])
I0229 15:55:22.048324 164201 Oracle_NN.py:157] loss:0.06293993971956456, idx:1245, prediction shapetorch.Size([1, 1024, 3])
I0229 15:55:30.121225 164201 Oracle_NN.py:157] loss:0.064041886684123, idx:545, prediction shapetorch.Size([1, 1024, 3])
I0229 15:55:38.297294 164201 Oracle_NN.py:157] loss:0.08661856328982216, idx:443, prediction shapetorch.Size([1, 1024, 3])
I0229 15:55:46.412502 164201 Oracle_NN.py:157] loss:0.056656906648421324, idx:476, prediction shapetorch.Size([1, 1024, 3])
I0229 15:55:54.567530 164201 Oracle_NN.py:157] loss:0.042827409395406635, idx:160, prediction shapetorch.Size([1, 1024, 3])
I0229 15:56:02.557332 164201 Oracle_NN.py:157] loss:0.031959135548684695, idx:308, prediction shapetorch.Size([1, 1024, 3])
I0229 15:56:10.621019 164201 Oracle_NN.py:157] loss:0.06000780968365417, idx:2484, prediction shapetorch.Size([1, 1024, 3])
I0229 15:56:18.698728 164201 Oracle_NN.py:157] loss:0.0553417818743936, idx:423, prediction shapetorch.Size([1, 1024, 3])
I0229 15:56:26.745294 164201 Oracle_NN.py:157] loss:0.03356563696468374, idx:2457, prediction shapetorch.Size([1, 1024, 3])
I0229 15:56:35.141918 164201 Oracle_NN.py:157] loss:0.046675731711141366, idx:1845, prediction shapetorch.Size([1, 1024, 3])
I0229 15:56:43.372964 164201 Oracle_NN.py:157] loss:0.05040409373951661, idx:689, prediction shapetorch.Size([1, 1024, 3])
I0229 15:56:51.428106 164201 Oracle_NN.py:157] loss:0.04155571785608919, idx:2796, prediction shapetorch.Size([1, 1024, 3])
I0229 15:56:59.623560 164201 Oracle_NN.py:157] loss:0.0569179448149101, idx:1079, prediction shapetorch.Size([1, 1024, 3])
I0229 15:57:07.806205 164201 Oracle_NN.py:157] loss:0.03522060109852393, idx:504, prediction shapetorch.Size([1, 1024, 3])
I0229 15:57:15.924437 164201 Oracle_NN.py:157] loss:0.041163400500742346, idx:2696, prediction shapetorch.Size([1, 1024, 3])
I0229 15:57:24.202451 164201 Oracle_NN.py:157] loss:0.049731904755830676, idx:1467, prediction shapetorch.Size([1, 1024, 3])
I0229 15:57:32.201497 164201 Oracle_NN.py:157] loss:0.05407628687077468, idx:1103, prediction shapetorch.Size([1, 1024, 3])
I0229 15:57:40.321853 164201 Oracle_NN.py:157] loss:0.05503766020395133, idx:1127, prediction shapetorch.Size([1, 1024, 3])
I0229 15:57:48.378437 164201 Oracle_NN.py:157] loss:0.07093632857772225, idx:923, prediction shapetorch.Size([1, 1024, 3])
I0229 15:57:56.497365 164201 Oracle_NN.py:157] loss:0.038132346027666124, idx:280, prediction shapetorch.Size([1, 1024, 3])
